"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/17/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/16/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/15/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/14/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/12/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/11/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/10/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/09/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/08/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/07/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/05/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/04/2012","2.6750","2.6700","2.6752","2.6700","","0.00%"
"05/03/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/02/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"05/01/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"04/30/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"04/28/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"04/27/2012","2.6750","2.6700","2.6750","2.6700","","0.00%"
"04/26/2012","2.6750","2.6700","2.6750","2.6700","","-0.07%"
"04/25/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/24/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/23/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/21/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/20/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/19/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/18/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/17/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/16/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/14/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/13/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/12/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/11/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/10/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/09/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/07/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/06/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/05/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/04/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/03/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"04/02/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/31/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/30/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/29/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/28/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/27/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/26/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/24/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/23/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/22/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/21/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/20/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/19/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/17/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/16/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/15/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/14/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/13/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/12/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
"03/10/2012","2.6769","2.6702","2.6769","2.6702","","0.00%"
